,วันที่,ราคาเปิด,ราคาสูงสุด,ราคาต่ำสุด,ราคาปิด,เปลี่ยนแปลง,%เปลี่ยนแปลง,ปริมาณรวม(หุ้น),มูลค่ารวม('000 บาท)
0,20/11/2563,37.75,38.5,37.5,38.25,0.5,1.32,67256749,2548118.95
1,19/11/2563,38.0,38.25,37.5,37.75,-0.25,-0.66,53651897,2037589.87
2,18/11/2563,37.0,38.0,37.0,38.0,0.5,1.33,58484618,2205988.53
3,17/11/2563,37.5,38.0,37.25,37.5,0.0,0.0,66527582,2503332.69
4,16/11/2563,38.0,38.25,37.5,37.5,0.0,0.0,48455599,1834721.96
5,13/11/2563,36.75,38.0,36.5,37.5,0.25,0.67,71592591,2672727.87
6,12/11/2563,37.75,38.0,36.75,37.25,-1.0,-2.61,100179574,3729819.34
7,11/11/2563,38.5,38.75,37.25,38.25,0.0,0.0,110724831,4220932.46
8,10/11/2563,36.75,38.5,36.25,38.25,3.5,10.07,176364209,6604787.54
9,09/11/2563,34.5,35.75,34.5,34.75,0.75,2.21,93606865,3262459.43
10,06/11/2563,34.0,34.5,33.25,34.0,0.0,0.0,60028803,2033191.04
11,05/11/2563,33.25,34.0,33.0,34.0,1.5,4.62,82382538,2758656.74
12,04/11/2563,32.5,33.0,32.25,32.5,-0.25,-0.76,45919745,1498182.82
13,03/11/2563,31.25,32.75,31.25,32.75,1.75,5.65,65691635,2110745.24
14,02/11/2563,31.0,31.25,30.5,31.0,0.0,0.0,30861710,954480.28
15,30/10/2563,31.0,31.25,30.5,31.0,0.0,0.0,57139607,1762188.74
16,29/10/2563,31.0,31.25,30.5,31.0,-0.5,-1.59,52320839,1617232.65
17,28/10/2563,31.75,32.25,31.5,31.5,-0.5,-1.56,51711968,1643656.78
18,27/10/2563,31.75,32.25,31.5,32.0,-0.25,-0.78,47634718,1522076.76
19,26/10/2563,32.0,32.25,31.5,32.25,0.0,0.0,32685264,1046479.16
20,22/10/2563,32.0,32.75,31.5,32.25,0.0,0.0,38245453,1230592.41
21,21/10/2563,32.25,32.5,31.75,32.25,0.0,0.0,49739593,1598017.24
22,20/10/2563,32.0,32.5,31.5,32.25,-0.25,-0.77,54638942,1745665.26
23,19/10/2563,32.5,32.75,32.25,32.5,-0.25,-0.76,37149333,1206183.18
24,16/10/2563,33.0,33.25,32.5,32.75,-0.25,-0.76,56992753,1872531.95
25,15/10/2563,33.0,33.5,32.75,33.0,-0.25,-0.75,61297321,2028771.83
26,14/10/2563,33.75,34.0,33.0,33.25,-1.0,-2.92,61774695,2060831.69
27,12/10/2563,33.25,34.5,33.0,34.25,1.0,3.01,78590675,2664629.96
28,09/10/2563,33.25,33.5,32.75,33.25,0.25,0.76,39046716,1295862.56
29,08/10/2563,33.0,33.75,32.75,33.0,0.0,0.0,55617828,1849530.31
30,07/10/2563,32.75,33.0,32.25,33.0,0.0,0.0,44521843,1455704.57
31,06/10/2563,32.75,33.25,32.5,33.0,0.75,2.33,67983950,2241252.8
32,05/10/2563,32.5,32.75,32.0,32.25,0.0,0.0,33886435,1094059.14
33,02/10/2563,32.75,33.0,31.75,32.25,-0.75,-2.27,46774923,1515407.13
34,01/10/2563,32.5,33.25,32.0,33.0,1.0,3.12,35314762,1154989.35
